condition_attr,condition_val,treatment_attr,treatment_val,coverage_pct,cate_value
Gender,Male,DevType,Product manager,92.4048634138639,-16916.350023158186
Gender,Male,DevType,Marketing or sales professional,92.4048634138639,-15273.719679781287
Gender,Male,FormalEducation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",92.4048634138639,10466.008788784296
Gender,Male,FormalEducation,Some college/university study without earning a degree,92.4048634138639,-3419.715430593149
Gender,Male,FormalEducation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",92.4048634138639,-25886.01172510027
Gender,Male,FormalEducation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",92.4048634138639,7349.7707429040565
Gender,Male,FormalEducation,Associate degree,92.4048634138639,-7025.6897826336235
Gender,Male,FormalEducation,"Professional degree (JD, MD, etc.)",92.4048634138639,-5486.410725675471
Gender,Male,FormalEducation,Primary/elementary school,92.4048634138639,-30073.745310948412
Gender,Male,FormalEducation,"Other doctoral degree (Ph.D, Ed.D., etc.)",92.4048634138639,15604.025218260342
Gender,Male,FormalEducation,I never completed any formal education,92.4048634138639,31379.411746896894
Gender,Male,UndergradMajor,"A natural science (ex. biology, chemistry, physics)",92.4048634138639,8756.174936032176
Gender,Male,UndergradMajor,"Computer science, computer engineering, or software engineering",92.4048634138639,-4918.8125433128225
Gender,Male,UndergradMajor,"Fine arts or performing arts (ex. graphic design, music, studio art)",92.4048634138639,5088.303478091054
Gender,Male,UndergradMajor,"A business discipline (ex. accounting, finance, marketing)",92.4048634138639,-2196.08069566879
Gender,Male,UndergradMajor,"Another engineering discipline (ex. civil, electrical, mechanical)",92.4048634138639,-5252.497281398313
Gender,Male,UndergradMajor,"Information systems, information technology, or system administration",92.4048634138639,1999.6416287098245
Gender,Male,UndergradMajor,"A social science (ex. anthropology, psychology, political science)",92.4048634138639,10748.513234871305
Gender,Male,UndergradMajor,Web development or web design,92.4048634138639,-22152.430992544345
Gender,Male,UndergradMajor,"A humanities discipline (ex. literature, history, philosophy)",92.4048634138639,16829.106530809695
Gender,Male,UndergradMajor,Mathematics or statistics,92.4048634138639,8006.784940061021
Gender,Male,UndergradMajor,"A health science (ex. nursing, pharmacy, radiology)",92.4048634138639,1114.8977551416433
Gender,Male,UndergradMajor,I never declared a major,92.4048634138639,4923.548186737684
Gender,Male,Hobby,Yes,92.4048634138639,-438821.5719402202
Gender,Male,Hobby,No,92.4048634138639,254643.64212737078
Gender,Non-Male,Exercise,Daily or almost every day,7.595136586136113,135.49844662766327
Gender,Non-Male,Exercise,1 - 2 times per week,7.595136586136113,-32826.863889755245
Gender,Non-Male,Exercise,I don't typically exercise,7.595136586136113,-20875.61504604428
Gender,Non-Male,Exercise,3 - 4 times per week,7.595136586136113,22290.779743924548
Gender,Non-Male,HoursComputer,5 - 8 hours,7.595136586136113,25722.258945244026
Gender,Non-Male,HoursComputer,9 - 12 hours,7.595136586136113,-17619.905365947667
Gender,Non-Male,HoursComputer,Over 12 hours,7.595136586136113,43840.06045258192
Gender,Non-Male,HoursComputer,1 - 4 hours,7.595136586136113,22008.331631461457
Gender,Non-Male,HoursComputer,Less than 1 hour,7.595136586136113,-52244.39970767345
Gender,Non-Male,DevType,Database administrator,7.595136586136113,-25428.26219901911
Gender,Non-Male,DevType,Back-end developer,7.595136586136113,11936.70998031638
Gender,Non-Male,DevType,Mobile developer,7.595136586136113,-22976.077249201495
Gender,Non-Male,DevType,Front-end developer,7.595136586136113,-5117.687183715374
Gender,Non-Male,DevType,Full-stack developer,7.595136586136113,-16663.72028146031
Gender,Non-Male,DevType,Designer,7.595136586136113,25999.829219073727
Gender,Non-Male,DevType,Embedded applications or devices developer,7.595136586136113,36172.00227741367
Gender,Non-Male,DevType,Engineering manager,7.595136586136113,4731.653443363921
Gender,Non-Male,DevType,Data scientist or machine learning specialist,7.595136586136113,26118.89419961846
Gender,Non-Male,DevType,Desktop or enterprise applications developer,7.595136586136113,-16074.85887926237
Gender,Non-Male,DevType,"C-suite executive (CEO, CTO, etc.)",7.595136586136113,84225.2178198087
Gender,Non-Male,DevType,QA or test developer,7.595136586136113,5529.62771893566
Gender,Non-Male,DevType,System administrator,7.595136586136113,-3182.4648466234494
Gender,Non-Male,DevType,Data or business analyst,7.595136586136113,-18449.240596898602
Gender,Non-Male,DevType,DevOps specialist,7.595136586136113,70933.40289461237
Gender,Non-Male,DevType,Educator or academic researcher,7.595136586136113,1309.1765335525693
Gender,Non-Male,DevType,Student,7.595136586136113,-66702.68969532102
Gender,Non-Male,DevType,Game or graphics developer,7.595136586136113,45246.4286327571
Gender,Non-Male,DevType,Product manager,7.595136586136113,-8750.108377154882
Gender,Non-Male,DevType,Marketing or sales professional,7.595136586136113,-74247.12293004179
Gender,Non-Male,FormalEducation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.595136586136113,-11543.602267461943
Gender,Non-Male,FormalEducation,Some college/university study without earning a degree,7.595136586136113,-44.00977101138631
Gender,Non-Male,FormalEducation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7.595136586136113,-28877.281148176793
Gender,Non-Male,FormalEducation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.595136586136113,10154.738729922916
Gender,Non-Male,FormalEducation,Associate degree,7.595136586136113,10277.535235177302
Gender,Non-Male,FormalEducation,"Professional degree (JD, MD, etc.)",7.595136586136113,126569.28743629623
Gender,Non-Male,FormalEducation,Primary/elementary school,7.595136586136113,-34920.63316600604
Gender,Non-Male,FormalEducation,"Other doctoral degree (Ph.D, Ed.D., etc.)",7.595136586136113,45124.968207394035
Gender,Non-Male,FormalEducation,I never completed any formal education,7.595136586136113,-56535.65906328564
Gender,Non-Male,UndergradMajor,"A natural science (ex. biology, chemistry, physics)",7.595136586136113,7167.578595583466
Gender,Non-Male,UndergradMajor,"Computer science, computer engineering, or software engineering",7.595136586136113,1030.7973602656232
Gender,Non-Male,UndergradMajor,"Fine arts or performing arts (ex. graphic design, music, studio art)",7.595136586136113,-14346.47065492725
Gender,Non-Male,UndergradMajor,"A business discipline (ex. accounting, finance, marketing)",7.595136586136113,6298.51440440381
Gender,Non-Male,UndergradMajor,"Another engineering discipline (ex. civil, electrical, mechanical)",7.595136586136113,24396.504610203334
Gender,Non-Male,UndergradMajor,"Information systems, information technology, or system administration",7.595136586136113,-6566.7772187636465
Gender,Non-Male,UndergradMajor,"A social science (ex. anthropology, psychology, political science)",7.595136586136113,-8272.475413673646
Gender,Non-Male,UndergradMajor,Web development or web design,7.595136586136113,-14309.792124205402
Gender,Non-Male,UndergradMajor,"A humanities discipline (ex. literature, history, philosophy)",7.595136586136113,-9267.633402504975
Gender,Non-Male,UndergradMajor,Mathematics or statistics,7.595136586136113,6253.22736991952
Gender,Non-Male,UndergradMajor,"A health science (ex. nursing, pharmacy, radiology)",7.595136586136113,-24038.797658362368
Gender,Non-Male,UndergradMajor,I never declared a major,7.595136586136113,7026.3157613976655
Gender,Non-Male,Hobby,Yes,7.595136586136113,44476.96446160583
Gender,Non-Male,Hobby,No,7.595136586136113,-5.9521348335209636e+19
SexualOrientation,Straight or heterosexual,Exercise,Daily or almost every day,92.8890994262856,10663.71479976241
SexualOrientation,Straight or heterosexual,Exercise,1 - 2 times per week,92.8890994262856,2900.4908149794915
SexualOrientation,Straight or heterosexual,Exercise,I don't typically exercise,92.8890994262856,-14112.819966561325
SexualOrientation,Straight or heterosexual,Exercise,3 - 4 times per week,92.8890994262856,23651.20640951306
SexualOrientation,Straight or heterosexual,HoursComputer,5 - 8 hours,92.8890994262856,-527.3717522083416
SexualOrientation,Straight or heterosexual,HoursComputer,9 - 12 hours,92.8890994262856,-337.2647761147505
SexualOrientation,Straight or heterosexual,HoursComputer,Over 12 hours,92.8890994262856,3815.010462922234
SexualOrientation,Straight or heterosexual,HoursComputer,1 - 4 hours,92.8890994262856,-9899.965929386555
SexualOrientation,Straight or heterosexual,HoursComputer,Less than 1 hour,92.8890994262856,-15008.154057937154
SexualOrientation,Straight or heterosexual,DevType,Database administrator,92.8890994262856,1923.4668952453205
SexualOrientation,Straight or heterosexual,DevType,Back-end developer,92.8890994262856,2129.4105233683576
SexualOrientation,Straight or heterosexual,DevType,Mobile developer,92.8890994262856,-9360.05920303652
SexualOrientation,Straight or heterosexual,DevType,Front-end developer,92.8890994262856,-697.2885015596152
SexualOrientation,Straight or heterosexual,DevType,Full-stack developer,92.8890994262856,-984.9389674677789
SexualOrientation,Straight or heterosexual,DevType,Designer,92.8890994262856,-15208.84614720278
SexualOrientation,Straight or heterosexual,DevType,Embedded applications or devices developer,92.8890994262856,3364.400146719919
SexualOrientation,Straight or heterosexual,DevType,Engineering manager,92.8890994262856,46805.58285462432
SexualOrientation,Straight or heterosexual,DevType,Data scientist or machine learning specialist,92.8890994262856,-8189.256950872828
SexualOrientation,Straight or heterosexual,DevType,Desktop or enterprise applications developer,92.8890994262856,-3866.1885037960405
SexualOrientation,Straight or heterosexual,DevType,"C-suite executive (CEO, CTO, etc.)",92.8890994262856,47030.755433788225
SexualOrientation,Straight or heterosexual,DevType,QA or test developer,92.8890994262856,-18572.443862924967
SexualOrientation,Straight or heterosexual,DevType,System administrator,92.8890994262856,15075.13392649545
SexualOrientation,Straight or heterosexual,DevType,Data or business analyst,92.8890994262856,7022.291017126856
SexualOrientation,Straight or heterosexual,DevType,DevOps specialist,92.8890994262856,22188.82486091119
SexualOrientation,Straight or heterosexual,DevType,Educator or academic researcher,92.8890994262856,-15410.204438219553
SexualOrientation,Straight or heterosexual,DevType,Student,92.8890994262856,-49499.07892787049
SexualOrientation,Straight or heterosexual,DevType,Game or graphics developer,92.8890994262856,-2452.1177760096916
SexualOrientation,Straight or heterosexual,DevType,Product manager,92.8890994262856,-14293.753455899028
SexualOrientation,Straight or heterosexual,DevType,Marketing or sales professional,92.8890994262856,-22470.25588972905
SexualOrientation,Straight or heterosexual,FormalEducation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",92.8890994262856,10795.711870995458
SexualOrientation,Straight or heterosexual,FormalEducation,Some college/university study without earning a degree,92.8890994262856,-4803.553211481295
SexualOrientation,Straight or heterosexual,FormalEducation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",92.8890994262856,-24100.268905295936
SexualOrientation,Straight or heterosexual,FormalEducation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",92.8890994262856,5741.373381314021
SexualOrientation,Straight or heterosexual,FormalEducation,Associate degree,92.8890994262856,-1863.1719556700505
SexualOrientation,Straight or heterosexual,FormalEducation,"Professional degree (JD, MD, etc.)",92.8890994262856,-118.32368224307189
SexualOrientation,Straight or heterosexual,FormalEducation,Primary/elementary school,92.8890994262856,-29594.75139647008
SexualOrientation,Straight or heterosexual,FormalEducation,"Other doctoral degree (Ph.D, Ed.D., etc.)",92.8890994262856,17285.526527314734
SexualOrientation,Straight or heterosexual,FormalEducation,I never completed any formal education,92.8890994262856,14389.306387664665
SexualOrientation,Straight or heterosexual,UndergradMajor,"A natural science (ex. biology, chemistry, physics)",92.8890994262856,9073.533451274287
SexualOrientation,Straight or heterosexual,UndergradMajor,"Computer science, computer engineering, or software engineering",92.8890994262856,-1504.6908416763738
SexualOrientation,Straight or heterosexual,UndergradMajor,"Fine arts or performing arts (ex. graphic design, music, studio art)",92.8890994262856,500.0363365888154
SexualOrientation,Straight or heterosexual,UndergradMajor,"A business discipline (ex. accounting, finance, marketing)",92.8890994262856,-4667.406672671421
SexualOrientation,Straight or heterosexual,UndergradMajor,"Another engineering discipline (ex. civil, electrical, mechanical)",92.8890994262856,-4423.515628990184
SexualOrientation,Straight or heterosexual,UndergradMajor,"Information systems, information technology, or system administration",92.8890994262856,2068.968658692218
SexualOrientation,Straight or heterosexual,UndergradMajor,"A social science (ex. anthropology, psychology, political science)",92.8890994262856,8138.882866483963
SexualOrientation,Straight or heterosexual,UndergradMajor,Web development or web design,92.8890994262856,-19819.176225109335
SexualOrientation,Straight or heterosexual,UndergradMajor,"A humanities discipline (ex. literature, history, philosophy)",92.8890994262856,9055.698160467524
SexualOrientation,Straight or heterosexual,UndergradMajor,Mathematics or statistics,92.8890994262856,5638.373000047786
SexualOrientation,Straight or heterosexual,UndergradMajor,"A health science (ex. nursing, pharmacy, radiology)",92.8890994262856,-849.3077208882928
SexualOrientation,Straight or heterosexual,UndergradMajor,I never declared a major,92.8890994262856,4886.367123204718
SexualOrientation,Straight or heterosexual,Hobby,Yes,92.8890994262856,-174365.0877660922
SexualOrientation,Straight or heterosexual,Hobby,No,92.8890994262856,-3.192959069693786e+19
SexualOrientation,Bisexual or Queer,Exercise,Daily or almost every day,3.6922995947155113,9928.52444702192
SexualOrientation,Bisexual or Queer,Exercise,1 - 2 times per week,3.6922995947155113,-32063.082202861147
SexualOrientation,Bisexual or Queer,Exercise,I don't typically exercise,3.6922995947155113,-19423.59602412615
SexualOrientation,Bisexual or Queer,Exercise,3 - 4 times per week,3.6922995947155113,30120.38804606437
SexualOrientation,Bisexual or Queer,HoursComputer,5 - 8 hours,3.6922995947155113,-2666.810385200872
SexualOrientation,Bisexual or Queer,HoursComputer,9 - 12 hours,3.6922995947155113,1517.534724996391
SexualOrientation,Bisexual or Queer,HoursComputer,Over 12 hours,3.6922995947155113,29300.34629263582
SexualOrientation,Bisexual or Queer,HoursComputer,1 - 4 hours,3.6922995947155113,-58487.06858150306
SexualOrientation,Bisexual or Queer,HoursComputer,Less than 1 hour,3.6922995947155113,-32386.52909480565
SexualOrientation,Bisexual or Queer,DevType,Database administrator,3.6922995947155113,-46430.50846118551
SexualOrientation,Bisexual or Queer,DevType,Back-end developer,3.6922995947155113,-4252.780156178235
SexualOrientation,Bisexual or Queer,DevType,Mobile developer,3.6922995947155113,3138.4303036530696
SexualOrientation,Bisexual or Queer,DevType,Front-end developer,3.6922995947155113,35080.85329019081
SexualOrientation,Bisexual or Queer,DevType,Full-stack developer,3.6922995947155113,-37243.380711348385
SexualOrientation,Bisexual or Queer,DevType,Designer,3.6922995947155113,36987.46048228219
SexualOrientation,Bisexual or Queer,DevType,Embedded applications or devices developer,3.6922995947155113,-31686.927717101564
SexualOrientation,Bisexual or Queer,DevType,Engineering manager,3.6922995947155113,-27377.257488064624
SexualOrientation,Bisexual or Queer,DevType,Data scientist or machine learning specialist,3.6922995947155113,76072.14633647216
SexualOrientation,Bisexual or Queer,DevType,Desktop or enterprise applications developer,3.6922995947155113,-21956.18629648497
SexualOrientation,Bisexual or Queer,DevType,"C-suite executive (CEO, CTO, etc.)",3.6922995947155113,89498.08162493377
SexualOrientation,Bisexual or Queer,DevType,QA or test developer,3.6922995947155113,26959.170998796406
SexualOrientation,Bisexual or Queer,DevType,System administrator,3.6922995947155113,-16600.27216337211
SexualOrientation,Bisexual or Queer,DevType,Data or business analyst,3.6922995947155113,-39439.41534483643
SexualOrientation,Bisexual or Queer,DevType,DevOps specialist,3.6922995947155113,63562.94834120725
SexualOrientation,Bisexual or Queer,DevType,Educator or academic researcher,3.6922995947155113,15038.47137404487
SexualOrientation,Bisexual or Queer,DevType,Student,3.6922995947155113,-127831.11680286526
SexualOrientation,Bisexual or Queer,DevType,Game or graphics developer,3.6922995947155113,11654.737475337286
SexualOrientation,Bisexual or Queer,DevType,Product manager,3.6922995947155113,-10900.094241800281
SexualOrientation,Bisexual or Queer,DevType,Marketing or sales professional,3.6922995947155113,29772.893185038025
SexualOrientation,Bisexual or Queer,FormalEducation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.6922995947155113,26008.455125928005
SexualOrientation,Bisexual or Queer,FormalEducation,Some college/university study without earning a degree,3.6922995947155113,27236.541625362675
SexualOrientation,Bisexual or Queer,FormalEducation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.6922995947155113,-40660.484526134656
SexualOrientation,Bisexual or Queer,FormalEducation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.6922995947155113,-24941.706694832632
SexualOrientation,Bisexual or Queer,FormalEducation,Associate degree,3.6922995947155113,-40766.275141890685
SexualOrientation,Bisexual or Queer,FormalEducation,"Professional degree (JD, MD, etc.)",3.6922995947155113,-21696.94630512648
SexualOrientation,Bisexual or Queer,FormalEducation,Primary/elementary school,3.6922995947155113,-90371.43893630565
SexualOrientation,Bisexual or Queer,FormalEducation,"Other doctoral degree (Ph.D, Ed.D., etc.)",3.6922995947155113,10493.870312784064
SexualOrientation,Bisexual or Queer,FormalEducation,I never completed any formal education,3.6922995947155113,176593.07767598983
SexualOrientation,Bisexual or Queer,UndergradMajor,"A natural science (ex. biology, chemistry, physics)",3.6922995947155113,-22964.277057838703
SexualOrientation,Bisexual or Queer,UndergradMajor,"Computer science, computer engineering, or software engineering",3.6922995947155113,-503.49317214506243
SexualOrientation,Bisexual or Queer,UndergradMajor,"Fine arts or performing arts (ex. graphic design, music, studio art)",3.6922995947155113,55158.32068897094
SexualOrientation,Bisexual or Queer,UndergradMajor,"A business discipline (ex. accounting, finance, marketing)",3.6922995947155113,-7323.514527744162
SexualOrientation,Bisexual or Queer,UndergradMajor,"Another engineering discipline (ex. civil, electrical, mechanical)",3.6922995947155113,-16754.80196187109
SexualOrientation,Bisexual or Queer,UndergradMajor,"Information systems, information technology, or system administration",3.6922995947155113,16238.64336331813
SexualOrientation,Bisexual or Queer,UndergradMajor,"A social science (ex. anthropology, psychology, political science)",3.6922995947155113,-19616.762828414245
SexualOrientation,Bisexual or Queer,UndergradMajor,Web development or web design,3.6922995947155113,-21176.79480001815
SexualOrientation,Bisexual or Queer,UndergradMajor,"A humanities discipline (ex. literature, history, philosophy)",3.6922995947155113,2727.9654127006647
SexualOrientation,Bisexual or Queer,UndergradMajor,Mathematics or statistics,3.6922995947155113,16324.122138889747
SexualOrientation,Bisexual or Queer,UndergradMajor,"A health science (ex. nursing, pharmacy, radiology)",3.6922995947155113,-49795.75132392334
SexualOrientation,Bisexual or Queer,UndergradMajor,I never declared a major,3.6922995947155113,-3027.7795971400888
SexualOrientation,Bisexual or Queer,Hobby,Yes,3.6922995947155113,-1.1890659085009975e+19
SexualOrientation,Bisexual or Queer,Hobby,No,3.6922995947155113,3.0867932511074288e+19
SexualOrientation,Gay or Lesbian,Exercise,Daily or almost every day,2.4343386494026,4534.291267797758
SexualOrientation,Gay or Lesbian,Exercise,1 - 2 times per week,2.4343386494026,-19418.59310465776
SexualOrientation,Gay or Lesbian,Exercise,I don't typically exercise,2.4343386494026,13231.95876473187
SexualOrientation,Gay or Lesbian,Exercise,3 - 4 times per week,2.4343386494026,26879.38635522941
SexualOrientation,Gay or Lesbian,HoursComputer,5 - 8 hours,2.4343386494026,30223.38210687446
SexualOrientation,Gay or Lesbian,HoursComputer,9 - 12 hours,2.4343386494026,5896.793698177687
SexualOrientation,Gay or Lesbian,HoursComputer,Over 12 hours,2.4343386494026,-9981.776251054478
SexualOrientation,Gay or Lesbian,HoursComputer,1 - 4 hours,2.4343386494026,-51680.70670101119
SexualOrientation,Gay or Lesbian,HoursComputer,Less than 1 hour,2.4343386494026,0.0
SexualOrientation,Gay or Lesbian,DevType,Database administrator,2.4343386494026,55875.19510849358
SexualOrientation,Gay or Lesbian,DevType,Back-end developer,2.4343386494026,1067.3736254081384
SexualOrientation,Gay or Lesbian,DevType,Mobile developer,2.4343386494026,-4982.758077274403
SexualOrientation,Gay or Lesbian,DevType,Front-end developer,2.4343386494026,-17663.361966447927
SexualOrientation,Gay or Lesbian,DevType,Full-stack developer,2.4343386494026,-4235.824129791689
SexualOrientation,Gay or Lesbian,DevType,Designer,2.4343386494026,-40963.91272901767
SexualOrientation,Gay or Lesbian,DevType,Embedded applications or devices developer,2.4343386494026,116205.85498501174
SexualOrientation,Gay or Lesbian,DevType,Engineering manager,2.4343386494026,-1957.712073446735
SexualOrientation,Gay or Lesbian,DevType,Data scientist or machine learning specialist,2.4343386494026,83833.75777752802
SexualOrientation,Gay or Lesbian,DevType,Desktop or enterprise applications developer,2.4343386494026,-14780.689535991463
SexualOrientation,Gay or Lesbian,DevType,"C-suite executive (CEO, CTO, etc.)",2.4343386494026,15608.221868572571
SexualOrientation,Gay or Lesbian,DevType,QA or test developer,2.4343386494026,-48031.45910619192
SexualOrientation,Gay or Lesbian,DevType,System administrator,2.4343386494026,-62732.74419205217
SexualOrientation,Gay or Lesbian,DevType,Data or business analyst,2.4343386494026,-36596.48208123228
SexualOrientation,Gay or Lesbian,DevType,DevOps specialist,2.4343386494026,27059.31108243878
SexualOrientation,Gay or Lesbian,DevType,Educator or academic researcher,2.4343386494026,6700.236527802368
SexualOrientation,Gay or Lesbian,DevType,Student,2.4343386494026,-46809.36091526019
SexualOrientation,Gay or Lesbian,DevType,Game or graphics developer,2.4343386494026,-114338.13951700789
SexualOrientation,Gay or Lesbian,DevType,Product manager,2.4343386494026,-117721.40715537798
SexualOrientation,Gay or Lesbian,DevType,Marketing or sales professional,2.4343386494026,-48641.749500169455
SexualOrientation,Gay or Lesbian,FormalEducation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.4343386494026,-35579.088358361405
SexualOrientation,Gay or Lesbian,FormalEducation,Some college/university study without earning a degree,2.4343386494026,-8393.16305246484
SexualOrientation,Gay or Lesbian,FormalEducation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2.4343386494026,-30112.031770853508
SexualOrientation,Gay or Lesbian,FormalEducation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.4343386494026,59544.40094859159
SexualOrientation,Gay or Lesbian,FormalEducation,Associate degree,2.4343386494026,-30485.5842456043
SexualOrientation,Gay or Lesbian,FormalEducation,"Professional degree (JD, MD, etc.)",2.4343386494026,-6140.8458160709515
SexualOrientation,Gay or Lesbian,FormalEducation,Primary/elementary school,2.4343386494026,5940.551773241934
SexualOrientation,Gay or Lesbian,FormalEducation,"Other doctoral degree (Ph.D, Ed.D., etc.)",2.4343386494026,-20670.323339266397
SexualOrientation,Gay or Lesbian,FormalEducation,I never completed any formal education,2.4343386494026,11996.557771387495
SexualOrientation,Gay or Lesbian,UndergradMajor,"A natural science (ex. biology, chemistry, physics)",2.4343386494026,1909.3998410082888
SexualOrientation,Gay or Lesbian,UndergradMajor,"Computer science, computer engineering, or software engineering",2.4343386494026,-19461.08226013614
SexualOrientation,Gay or Lesbian,UndergradMajor,"Fine arts or performing arts (ex. graphic design, music, studio art)",2.4343386494026,-20936.45302381833
SexualOrientation,Gay or Lesbian,UndergradMajor,"A business discipline (ex. accounting, finance, marketing)",2.4343386494026,94213.08663644691
SexualOrientation,Gay or Lesbian,UndergradMajor,"Another engineering discipline (ex. civil, electrical, mechanical)",2.4343386494026,4894.679913678366
SexualOrientation,Gay or Lesbian,UndergradMajor,"Information systems, information technology, or system administration",2.4343386494026,-25706.792885378913
SexualOrientation,Gay or Lesbian,UndergradMajor,"A social science (ex. anthropology, psychology, political science)",2.4343386494026,1755.6256736686664
SexualOrientation,Gay or Lesbian,UndergradMajor,Web development or web design,2.4343386494026,-7354.161930449529
SexualOrientation,Gay or Lesbian,UndergradMajor,"A humanities discipline (ex. literature, history, philosophy)",2.4343386494026,29836.578269957965
SexualOrientation,Gay or Lesbian,UndergradMajor,Mathematics or statistics,2.4343386494026,6073.644418055771
SexualOrientation,Gay or Lesbian,UndergradMajor,"A health science (ex. nursing, pharmacy, radiology)",2.4343386494026,-22163.312645978996
SexualOrientation,Gay or Lesbian,UndergradMajor,I never declared a major,2.4343386494026,-21934.920634090493
SexualOrientation,Gay or Lesbian,Hobby,Yes,2.4343386494026,3.5333500593058963e+17
SexualOrientation,Gay or Lesbian,Hobby,No,2.4343386494026,-3.6221011822096933e+19
SexualOrientation,Asexual,Exercise,Daily or almost every day,0.9842623295962946,-18327.61495843692
SexualOrientation,Asexual,Exercise,1 - 2 times per week,0.9842623295962946,-20319.138912713417
SexualOrientation,Asexual,Exercise,I don't typically exercise,0.9842623295962946,40301.4578416012
SexualOrientation,Asexual,Exercise,3 - 4 times per week,0.9842623295962946,52190.57549004235
SexualOrientation,Asexual,HoursComputer,5 - 8 hours,0.9842623295962946,35601.434839623485
SexualOrientation,Asexual,HoursComputer,9 - 12 hours,0.9842623295962946,-63383.44058376995
SexualOrientation,Asexual,HoursComputer,Over 12 hours,0.9842623295962946,-40961.80352936563
SexualOrientation,Asexual,HoursComputer,1 - 4 hours,0.9842623295962946,-16192.593086153956
SexualOrientation,Asexual,HoursComputer,Less than 1 hour,0.9842623295962946,0.0
SexualOrientation,Asexual,DevType,Database administrator,0.9842623295962946,6127.781534678812
SexualOrientation,Asexual,DevType,Back-end developer,0.9842623295962946,-47666.85830483558
SexualOrientation,Asexual,DevType,Mobile developer,0.9842623295962946,-19810.270942888914
SexualOrientation,Asexual,DevType,Front-end developer,0.9842623295962946,-15794.887846332862
SexualOrientation,Asexual,DevType,Full-stack developer,0.9842623295962946,31087.081946763315
SexualOrientation,Asexual,DevType,Designer,0.9842623295962946,75175.68893344443
SexualOrientation,Asexual,DevType,Embedded applications or devices developer,0.9842623295962946,-131658.1610117302
SexualOrientation,Asexual,DevType,Engineering manager,0.9842623295962946,-7027.762325146539
SexualOrientation,Asexual,DevType,Data scientist or machine learning specialist,0.9842623295962946,-32944.92979565516
SexualOrientation,Asexual,DevType,Desktop or enterprise applications developer,0.9842623295962946,-46352.165395083124
SexualOrientation,Asexual,DevType,"C-suite executive (CEO, CTO, etc.)",0.9842623295962946,19799.03124729791
SexualOrientation,Asexual,DevType,QA or test developer,0.9842623295962946,-59838.14570957881
SexualOrientation,Asexual,DevType,System administrator,0.9842623295962946,-21000.428373299
SexualOrientation,Asexual,DevType,Data or business analyst,0.9842623295962946,305771.6705175573
